County	AMERICANINDIANANDNATIVEALASKAN	15-19YEARSOLD	COLLEGEDEGREE(PERCENT)	POPULATIONTOTAL	OTHERRACE	HISPANICORLATINOPOPULATION	HIGHSCHOOLGRADUATEONLY(PERCENT)	MEDIANHOUSEHOLDINCOME	PERSONSINPOVERTY	20-34YEARSOLD	ASIANANDPACIFICISLANDERPOPULATION	TOTALEMPLOYMENT	INCIVILIANLABORFORCE	35-59YEARSOLD	FEMALEPOPULATION	TOTALUNEMPLOYMENT	BLACKORAFRICANAMERICANPOPULATION	60-74YEARSOLD	75YEARSPLUS	WHITEPOPULATION	
BUTLER	21.0574	2891.7085	13.6510	41453.5224	3684.1894	2459.2506	19.7828	64604.1999	-139009.7408	-7673.7799	1922.8393	15442.3137	17741.8777	28310.2782	19891.9386	2181.8211	1569.5935	22984.3486	6359.8967	34272.5881	11.549371320000006
BUTLER	-47.4587	2645.0304	14.1812	33177.2309	3606.9999	2321.7716	13.7337	60232.5996	-147123.7452	-6160.0090	1721.3290	10953.0070	13118.1310	22482.5830	15690.0204	2118.4295	1327.2885	20106.9626	4979.5540	26468.7874	27.67417993
BUTLER	-169.3851	2391.6878	14.7029	24392.4186	3478.9766	2146.7756	4.9630	55146.2190	-155744.3499	-4702.0587	1433.7939	6173.8031	8202.8006	15842.8299	11232.0671	2053.8032	1002.8616	16065.5825	3356.7091	18206.3935	13.49619731
BUTLER	-385.4767	2132.9083	15.2135	15117.4648	3267.5381	1925.1047	-7.6962	49258.2508	-164854.4651	-3305.7149	1025.3845	1113.0186	3005.2860	8316.7055	6527.6543	1988.2758	570.5321	10415.4881	1458.3995	9505.0721	4.233496350000003
BUTLER	-766.0548	1869.8534	15.7108	5373.1536	2920.4563	1645.8176	-25.8636	42477.4128	-174434.5453	-1974.6367	448.5760	-4219.5582	-2463.5795	-170.7009	1587.5516	1922.1549	-2.4187	2560.7583	-750.6579	386.4895	2.036069740000002
BUTLER	-1442.9605	1599.8752	16.1999	-4962.9644	2345.1062	1290.5314	-52.1898	34592.9051	-184605.9604	-693.5416	-373.9999	-9892.6975	-8273.4404	-9834.5455	-3650.0617	1854.7919	-769.0987	-8465.0747	-3346.1599	-9261.4883	3.488199190000003
BUTLER	-2642.6474	1324.1031	16.6786	-15875.7777	1394.8790	840.4834	-90.1877	25465.8392	-195354.9469	533.4200	-1542.3710	-15900.0860	-14416.8398	-20788.4613	-9177.2383	1786.4898	-1790.7722	-23879.8576	-6382.2274	-19422.0008	-0.4410884199999998
GREENE	244.0019	-635.0188	14.2669	-1970.0066	773.7814	359.7887	37.3556	46213.4106	-37208.9353	-1631.2166	80.8678	3543.1864	3278.0603	2803.4168	-2745.9133	-189.0126	959.3983	545.6905	-71.1433	-3238.8046	34.206253399999994
GREENE	211.6455	-423.2165	12.7459	-2411.4243	770.1468	313.6747	30.2023	42778.1531	-36921.3692	-1761.9060	64.5982	2724.5643	2625.8859	1786.2634	-2328.9043	28.4968	716.8300	938.2240	-193.0407	-3217.2831	45.8150883
GREENE	161.2838	-223.8327	10.8784	-2860.2559	766.1808	256.2508	17.4265	38689.8470	-36634.3999	-1895.4449	45.7344	1853.2684	1942.6995	669.9287	-1917.9946	217.8643	279.9276	1305.7175	-320.9882	-3195.6553	39.68624575
